V(Pt),sV(Pt),V(MgO),sV(MgO),T,sT
5.24347700e+01,4.45400000e-02,5.97090600e+01,4.08400000e-02,1.67300000e+03,3.20000000e+01
5.24235700e+01,3.41500000e-02,5.97015900e+01,5.36600000e-02,1.79000000e+03,3.30000000e+01
5.24287100e+01,3.64500000e-02,5.96915600e+01,4.41000000e-02,1.88600000e+03,1.80000000e+01
5.24285700e+01,4.47300000e-02,5.96805300e+01,2.53100000e-02,1.81800000e+03,4.20000000e+01
5.23342400e+01,3.76700000e-02,5.95935100e+01,3.55700000e-02,2.08000000e+03,5.80000000e+01
5.19714600e+01,6.95400000e-02,5.87836300e+01,3.81000000e-02,1.66300000e+03,4.90000000e+01
5.20120400e+01,5.85500000e-02,5.88717500e+01,2.56300000e-02,1.72300000e+03,6.10000000e+01
5.19892100e+01,3.61600000e-02,5.88960700e+01,4.55600000e-02,1.71600000e+03,2.70000000e+01
5.18434700e+01,4.98600000e-02,5.86693900e+01,3.24200000e-02,1.81300000e+03,6.00000000e+01
5.18316700e+01,5.61500000e-02,5.86721000e+01,4.44000000e-03,1.90200000e+03,5.50000000e+01
5.18234700e+01,4.81100000e-02,5.86675900e+01,9.96000000e-03,1.92800000e+03,5.60000000e+01
5.18278200e+01,6.31800000e-02,5.86731800e+01,3.01300000e-02,1.95300000e+03,3.80000000e+01
5.18489300e+01,3.92600000e-02,5.86658200e+01,4.02800000e-02,1.93800000e+03,2.80000000e+01
5.36217300e+01,1.69700000e-02,6.13344400e+01,5.25400000e-02,1.61000000e+03,3.80000000e+01
5.35745300e+01,3.79000000e-02,6.13532600e+01,4.82600000e-02,1.66100000e+03,1.80000000e+01
5.36067300e+01,4.68000000e-02,6.13669900e+01,4.47400000e-02,1.63400000e+03,3.60000000e+01
5.36145900e+01,2.83200000e-02,6.13756700e+01,4.60900000e-02,1.79900000e+03,4.00000000e+01
5.35190600e+01,1.48000000e-02,6.13465000e+01,3.70800000e-02,1.78200000e+03,3.50000000e+01
5.32729300e+01,3.19300000e-02,6.09881700e+01,7.16600000e-02,1.90800000e+03,4.10000000e+01
5.34026300e+01,3.94400000e-02,6.10500000e+01,5.84900000e-02,1.66900000e+03,2.90000000e+01
5.33927000e+01,3.43800000e-02,6.10521600e+01,5.46200000e-02,1.67100000e+03,3.30000000e+01
5.06450000e+01,2.81400000e-02,5.67237000e+01,2.68200000e-02,1.87450000e+03,4.20000000e+01
5.06834100e+01,9.46000000e-03,5.66509200e+01,1.71700000e-02,1.85800000e+03,1.60000000e+01
5.06763100e+01,2.38300000e-02,5.66680700e+01,1.20700000e-02,1.94600000e+03,1.00000000e+01
5.06226200e+01,3.69500000e-02,5.66394900e+01,3.52500000e-02,1.74100000e+03,5.40000000e+01
5.05866400e+01,1.88900000e-02,5.66328500e+01,6.43600000e-02,1.82000000e+03,5.40000000e+01
5.05519800e+01,3.62500000e-02,5.65763000e+01,2.11600000e-02,1.89800000e+03,2.00000000e+01
5.05334800e+01,3.34900000e-02,5.65507300e+01,1.54100000e-02,2.15000000e+03,2.40000000e+01
5.05374300e+01,2.97600000e-02,5.65543100e+01,1.14500000e-02,2.09400000e+03,6.90000000e+01
4.86450000e+01,3.00000000e-02,5.35290000e+01,4.00000000e-02,1.83750000e+03,1.15000000e+01
4.86690000e+01,5.00000000e-02,5.35600000e+01,3.00000000e-02,1.79500000e+03,1.00000000e+01
4.87030000e+01,5.00000000e-02,5.35650000e+01,4.00000000e-02,1.70850000e+03,1.15000000e+01
4.85259200e+01,4.07000000e-02,5.32533800e+01,9.58000000e-03,1.73800000e+03,1.20000000e+01
4.84800000e+01,5.44900000e-02,5.32755600e+01,3.49700000e-02,1.65900000e+03,2.00000000e+01
4.85369900e+01,4.36700000e-02,5.32828600e+01,3.45300000e-02,1.54600000e+03,1.90000000e+01
4.86718600e+01,5.29800000e-02,5.34885800e+01,4.67700000e-02,1.92900000e+03,1.00000000e+01
4.86292200e+01,5.66900000e-02,5.34687600e+01,2.02300000e-02,1.90300000e+03,4.10000000e+01
4.86783500e+01,5.44500000e-02,5.35022300e+01,1.80500000e-02,2.02000000e+03,3.35000000e+01
4.86655000e+01,3.37000000e-02,5.35189500e+01,4.66700000e-02,1.95800000e+03,2.55000000e+01
4.77357000e+01,3.67700000e-02,5.18629800e+01,6.04200000e-02,1.84400000e+03,5.80000000e+01
4.77627200e+01,4.07100000e-02,5.18548000e+01,6.64500000e-02,1.76000000e+03,6.60000000e+01
4.76800000e+01,2.53700000e-02,5.19027700e+01,2.07500000e-02,2.13000000e+03,2.90000000e+01
4.74612300e+01,4.75600000e-02,5.15447100e+01,1.55900000e-02,2.18800000e+03,8.80000000e+01
4.74492000e+01,4.59900000e-02,5.15134700e+01,1.28100000e-02,2.24500000e+03,1.40000000e+01
4.74867700e+01,4.45200000e-02,5.15423500e+01,8.30000000e-03,2.50500000e+03,5.90000000e+01
4.73902300e+01,3.33100000e-02,5.14799900e+01,1.94800000e-02,2.05100000e+03,3.00000000e+01
